experiment_id,dataset,seed,model_summary,optimizer,lr,momentum,weight_decay,epochs_trained,best_val_accuracy,best_val_loss
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,20,0.8516400709219858,0.48893751180763784
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,20,0.8492464539007092,0.4735092144063179
E2,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,0.001,0.0,0.0,20,0.8571365248226951,0.4242328907581086
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,5,0.8293882978723405,0.5300910071278295
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,5,0.8293882978723405,0.5300910071278295
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,5,0.8293882978723405,0.5300910071278295
E2,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,0.001,0.0,0.0,5,0.8210106382978724,0.5355197164183813
E3,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;batchnorm=1,Adam,0.001,0.0,0.0,5,0.8466312056737588,0.450212299401033
E4,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;batchnorm=1,Adam,0.001,0.0,0.0,11,0.8520833333333333,0.44200299788028635
O1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;batchnorm=1,Adam,0.1,0.0,0.0,8,0.8287234042553191,0.5428373992443085
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,5,0.7982269503546099,0.6361040108592798
E1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU,Adam,0.001,0.0,0.0,20,0.8489361702127659,0.4733108646903478
E2,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,0.001,0.0,0.0,20,0.8547429078014185,0.4321418445161048
E3,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;batchnorm=1,Adam,0.001,0.0,0.0,20,0.8514627659574469,0.4695299849865284
E4,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,0.001,0.0,0.0,30,0.8617464539007093,0.4133106110789252
O1,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,0.1,0.0,0.0,8,0.02225177304964539,3.8546421436553304
O2,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,Adam,1e-05,0.0,0.0,8,0.24392730496453902,3.3289611660842353
O3,EMNIST_balanced,42,hidden=512-256-128;act=ReLU;dropout=0.3,SGD,0.005,0.9,0.0001,15,0.5997783687943262,1.438810616013006
